%time,field0,field1
1561004674134115934,28789.0,6235120.0
1561004674184442996,28793.0,6235632.0
1561004674257817983,28764.0,6234608.0
1561004674284136056,28786.0,6235632.0
1561004674333899974,28786.0,6235632.0
1561004674383888006,28779.0,6235120.0
1561004674434156894,28779.0,6235632.0
1561004674484292984,28776.0,6235120.0
1561004674534018039,28784.0,6235632.0
1561004674584105014,28800.0,6236144.0
1561004674610901117,28800.0,6235632.0
1561004674660758018,28770.0,6235120.0
1561004674710665941,28771.0,6234608.0
1561004674761087894,28774.0,6235120.0
1561004674810920953,28773.0,6234608.0
1561004674860783100,28778.0,6235632.0
1561004674910651922,28768.0,6236144.0
1561004674960869073,28770.0,6235120.0
1561004675010551929,28769.0,6235632.0
1561004675060775041,28786.0,6235120.0
1561004675110733985,28776.0,6235632.0
1561004675160603046,28785.0,6235632.0
1561004675210648059,28776.0,6235632.0
1561004675237586975,28776.0,6235120.0
1561004675287543058,28774.0,6235120.0
1561004675360857963,28780.0,6234608.0
1561004675410969972,28784.0,6235632.0
1561004675437654972,28784.0,6236144.0
1561004675487715959,28778.0,6236656.0
1561004675537780046,28786.0,6234608.0
1561004675587836027,28786.0,6235632.0
1561004675637677907,28798.0,6235120.0
1561004675687258005,28783.0,6236144.0
1561004675737416982,28789.0,6236144.0
1561004675787198066,28783.0,6235632.0
1561004675837608098,28775.0,6235632.0
1561004675863888978,28799.0,6235120.0
1561004675913875102,28783.0,6236144.0
1561004675964073896,28790.0,6235120.0
1561004676013813972,28781.0,6235120.0
1561004676064212083,28783.0,6235120.0
1561004676114129066,28780.0,6235120.0
1561004676164027929,28780.0,6236144.0
1561004676214488029,28780.0,6235120.0
1561004676264377117,28790.0,6235632.0
1561004676314147949,28787.0,6235120.0
1561004676340714931,28785.0,6235632.0
1561004676390492916,28769.0,6234608.0
1561004676440670967,28789.0,6235120.0
1561004676514363050,28782.0,6233584.0
1561004676540785074,28777.0,6235632.0
1561004676590610980,28771.0,6236656.0
1561004676640804052,28775.0,6234608.0
1561004676690745115,28774.0,6235120.0
1561004676740967035,28780.0,6234608.0
1561004676790791034,28770.0,6234608.0
1561004676840857028,28775.0,6236144.0
1561004676891196966,28768.0,6234608.0
1561004676917232990,28776.0,6235120.0
1561004677014394044,28774.0,6235120.0
1561004677063863992,28779.0,6235632.0
1561004677090554952,28784.0,6235120.0
1561004677140662908,28791.0,6237168.0
1561004677190610885,28783.0,6235632.0
1561004677240452051,28776.0,6236144.0
1561004677290520906,28777.0,6234608.0
1561004677340497970,28776.0,6235120.0
1561004677390506029,28775.0,6235120.0
1561004677440748929,28775.0,6235632.0
1561004677490638971,28774.0,6235632.0
1561004677517199039,28776.0,6235120.0
1561004677590917110,28787.0,6235632.0
1561004677640506029,28770.0,6236656.0
1561004677667217016,28782.0,6236144.0
1561004677717226028,28784.0,6235632.0
1561004677767093896,28788.0,6235120.0
1561004677817089080,28795.0,6235120.0
1561004677867311000,28785.0,6234608.0
1561004677917514085,28770.0,6234096.0
1561004677967852115,28774.0,6235632.0
1561004678017714023,28781.0,6235120.0
1561004678067809104,28766.0,6236656.0
1561004678093755006,28766.0,6236656.0
1561004678167349100,28771.0,6235120.0
1561004678217521905,28786.0,6236144.0
1561004678267630100,28786.0,6234608.0
1561004678341140985,28782.0,6236144.0
1561004678390480041,28790.0,6235120.0
1561004678440793991,28772.0,6236144.0
1561004678490560054,28790.0,6235632.0
1561004678517148017,28784.0,6235120.0
1561004678567157983,28788.0,6236656.0
1561004678617283105,28780.0,6236656.0
1561004678667299985,28782.0,6235632.0
1561004678717199087,28780.0,6236144.0
1561004678767254114,28781.0,6237168.0
1561004678817373991,28790.0,6235632.0
1561004678867189884,28783.0,6236144.0
1561004678917186975,28789.0,6234608.0
1561004678967158079,28785.0,6235120.0
1561004678993870019,28785.0,6235120.0
1561004679043898105,28784.0,6237168.0
1561004679117250919,28776.0,6235632.0
1561004679167325019,28781.0,6235120.0
1561004679194152116,28781.0,6236144.0
1561004679243838071,28790.0,6235120.0
1561004679294121980,28780.0,6235120.0
1561004679344234943,28776.0,6236656.0
1561004679393937110,28781.0,6235632.0
1561004679444072961,28780.0,6235120.0
1561004679494338989,28785.0,6235632.0
1561004679544423103,28773.0,6235120.0
1561004679594208955,28790.0,6236144.0
1561004679643901109,28780.0,6235632.0
1561004679693835973,28770.0,6236144.0
1561004679720601081,28788.0,6235632.0
1561004679793843030,28794.0,6236144.0
1561004679820502042,28783.0,6235120.0
1561004679870531082,28796.0,6235120.0
1561004679920633077,28792.0,6236144.0
1561004679970388889,28781.0,6235120.0
1561004680020466089,28778.0,6236656.0
1561004680071033000,28768.0,6234608.0
1561004680120584011,28783.0,6234608.0
1561004680147299051,28783.0,6234608.0
1561004680220680952,28777.0,6236144.0
1561004680270773887,28795.0,6236144.0
