time	IR (20)	baro(20)
6622052	11992	1558.18
6668356	12001	1558.18
6714656	11997	1558.18
6760968	12003	1558.31
6807280	12015	1558.31
6853588	12013	1558.31
6899908	12021	1558.31
6946224	12015	1558.18
6992552	12020	1558.44
7038876	12020	1558.44
7085196	12022	1558.44
7131516	12030	1558.57
7177828	12029	1558.44
7224140	12032	1558.44
7270440	12032	1558.57
7316748	12034	1558.57
7363076	12037	1558.7
7409388	12046	1558.83
7455696	12049	1558.83
7501992	12054	1558.7
7548312	12049	1558.83
7594620	12061	1558.83
7640940	12073	1558.83
7687268	12067	1558.83
7733596	12073	1558.83
7779920	12085	1558.97
7826232	12076	1559.1
7872536	12080	1559.1
7918844	12077	1559.1
7965176	12090	1559.1
8011496	12083	1558.97
8057800	12092	1559.23
8104104	12089	1559.23
8150424	12093	1559.23
8196736	12100	1559.23
8243052	12099	1559.23
8289384	12099	1559.36
8335712	12106	1559.36
8382032	12107	1559.36
8428348	12111	1559.49
8474664	12120	1559.36
8520980	12113	1559.49
8567300	12120	1559.49
8613608	12110	1559.49
8659916	12114	1559.62
8706216	12111	1559.49
8752540	12126	1559.62
8798856	12126	1559.62
8845184	12124	1559.62
8891520	12130	1559.75
8937844	12129	1559.75
8984148	12130	1559.75
9030464	12129	1559.62
9076768	12127	1559.62
9123072	12130	1559.75
9169404	12127	1559.75
9215716	12129	1559.88
9262028	12143	1559.88
9308328	12133	1559.88
9354644	12137	1560.02
9400952	12130	1559.88
9447268	12146	1559.88
9493560	12135	1560.02
9539864	12149	1560.15
9586180	12147	1560.02
9632488	12140	1560.02
9678800	12143	1560.15
9725088	12146	1560.15
9771416	12143	1560.15
9817724	12144	1560.15
9864040	12148	1560.28
9910372	12147	1560.28
9956704	12146	1560.28
3020	12157	1560.28
49328	12148	1560.15
95640	12153	1560.28
141956	12149	1560.41
188284	12155	1560.41
234596	12171	1560.15
280908	12195	1560.41
327220	12218	1560.28
373536	12245	1560.41
419860	12266	1560.41
466188	12294	1560.41
512528	12326	1560.54
558844	12350	1560.41
605156	12382	1560.41
651468	12406	1560.54
697788	12440	1560.41
744112	12473	1560.54
790432	12506	1560.41
836744	12536	1560.54
883048	12558	1560.54
929368	12600	1560.54
975696	12635	1560.67
1022016	12669	1560.54
1068340	12711	1560.67
1114640	12740	1560.67
1160952	12782	1560.67
1207268	12820	1560.67
1253580	12857	1560.8
1299884	12903	1560.67
1346184	12938	1560.8
1392504	12987	1560.67
1438804	13033	1560.93
1485112	13075	1560.93
1531408	13123	1561.07
1577736	13167	1561.46
1624044	13206	1562.77
1670348	13245	1564.48
1716656	13303	1566.58
1762964	13345	1569.2
1809284	13408	1572.09
1855588	13539	1575.5
1901880	13811	1579.05
1948160	14306	1583.12
1994484	14563	1587.32
2040792	14774	1592.04
2087108	14911	1597.03
2133408	15084	1602.67
2179708	15229	1608.71
2226032	15367	1614.88
2272348	15536	1621.57
2318656	15727	1628.66
2364944	15944	1635.75
2411264	16137	1642.83
2457576	16322	1650.18
2503892	16487	1657.4
2550192	16614	1665.28
2596492	16673	1673.55
2642808	16686	1682.21
2689116	16673	1691.4
2735424	16615	1700.98
2781724	16555	1710.69
2828032	16471	1720.4
2874344	16416	1730.12
2920656	16401	1740.88
2966948	16397	1751.51
3013264	16328	1762.4
3059588	16254	1773.56
3105892	16175	1784.72
3152188	16078	1796
3198492	16000	1807.42
3244800	15962	1819.76
3291096	16265	1832.1
3337404	16661	1844.3
3383700	17257	1857.17
3430008	18531	1870.29
3476336	19234	1883.42
3522652	19683	1896.67
3568964	19896	1910.45
3615264	20153	1925.02
3661584	20381	1940.25
3707892	20618	1956.13
3754200	20851	1972.67
3800504	21134	1989.07
3846824	21358	1982.77
3893132	21410	1936.7
3939436	21407	1894.57
3985736	21412	1861.37
4032032	21381	1833.02
4078344	21355	1807.42
4124656	21346	1784.45
4170956	21349	1763.45
4217256	21363	1744.55
4263564	21379	1726.97
4309892	21387	1710.82
4356208	21421	1696.38
4402508	21413	1683.39
