Loop Time (ms)	IR (16 bit)	Force (N)
63	12433	1545.33
64	12488	1545.33
64	12535	1545.33
65	12588	1545.33
63	12642	1545.33
65	12700	1545.2
63	12756	1545.33
80	12820	1545.33
65	12882	1545.46
63	12946	1545.46
64	13019	1545.46
64	13081	1545.59
64	13159	1545.72
64	13232	1546.1
64	13318	1546.23
64	13398	1546.61
64	13492	1547.12
64	13604	1547.63
64	13716	1548.4
80	13843	1549.04
64	14006	1549.81
64	14140	1550.7
64	14255	1551.72
64	14336	1552.75
63	14360	1553.9
64	14358	1555.3
64	14354	1556.58
65	14357	1557.73
64	14346	1556.96
64	14343	1555.43
63	14354	1554.28
80	14360	1553.13
65	14305	1552.11
64	14199	1551.08
63	14051	1550.19
64	13873	1549.55
65	13725	1548.78
63	13621	1548.02
64	13522	1547.5
64	13436	1547.12
65	13353	1546.74
63	13273	1546.48
64	13199	1546.1
80	13126	1545.97
64	13051	1545.84
64	12979	1545.72
64	12910	1545.72
64	12848	1545.59
64	12786	1545.59
64	12725	1545.59
64	12669	1545.46
64	12614	1545.59
64	12559	1545.59
63	12509	1545.59
65	12456	1545.59
80	12407	1545.46
64	12364	1545.46
64	12317	1545.46
63	12276	1545.46
64	12233	1545.46
65	12192	1545.46
64	12154	1545.46
64	12119	1545.46
63	12081	1545.46
65	12037	1545.46
63	12003	1545.46
64	11971	1545.46
81	11939	1545.46
63	11910	1545.59
64	11879	1545.33
64	11848	1545.46
64	11820	1545.46
64	11782	1545.46
64	11767	1545.46
64	11739	1545.46
65	11713	1545.33
63	11695	1545.46
64	11668	1545.33
64	11643	1545.46
80	11619	1545.33
63	11596	1545.46
65	11575	1545.46
63	11553	1545.46
65	11531	1545.33
63	11516	1545.46
64	11495	1545.46
64	11480	1545.46
65	11467	1545.46
63	11451	1545.46
65	11430	1545.33
64	11416	1545.46
79	11401	1545.46
64	11381	1545.46
64	11371	1545.46
64	11350	1545.46
64	11339	1545.33
64	11328	1545.33
64	11316	1545.46
64	11306	1545.33
64	11292	1545.46
65	11282	1545.46
63	11266	1545.33
64	11255	1545.46
80	11248	1545.46
64	11237	1545.33
64	11227	1545.33
64	11214	1545.33
64	11207	1545.33
64	11194	1545.46
64	11182	1545.59
64	11176	1545.46
64	11166	1545.33
64	11159	1545.46
64	11141	1545.46
64	11140	1545.33
79	11137	1545.33
65	11130	1545.46
64	11120	1545.33
64	11114	1545.46
63	11103	1545.46
65	11095	1545.46
63	11091	1545.33
65	11078	1545.33
64	11070	1545.33
64	11066	1545.46
63	11060	1545.46
64	11050	1545.46
80	11045	1545.33
64	11040	1545.33
64	11045	1545.33
65	11053	1545.33
64	11048	1545.33
63	11048	1545.46
64	11052	1545.46
64	11045	1545.33
64	11048	1545.33
64	11048	1545.33
64	11051	1545.33
64	11045	1545.33
80	11045	1545.33
64	11044	1545.46
64	11051	1545.33
64	11050	1545.33
63	11049	1545.33
65	11048	1545.33
64	11046	1545.33
63	11052	1545.33
65	11046	1545.33
65	11053	1545.33
63	11049	1545.33
64	11052	1545.46
80	11052	1545.46
64	11049	1545.33
64	11047	1545.2
63	11052	1545.33
64	11044	1545.33
64	11046	1545.33
64	11038	1545.33
64	11043	1545.46
65	11045	1545.33
63	11047	1545.33
65	11049	1545.33
65	11049	1545.2
79	11049	1545.46
63	11047	1545.33
65	11042	1545.33
63	11047	1545.33
64	11048	1545.33
64	11045	1545.33
63	11047	1545.33
64	11049	1545.33
65	11044	1545.2
65	11050	1545.33
63	11044	1545.33
64	11043	1545.33
79	11046	1545.33
65	11049	1545.33
82	11049	1545.46
45	11052	1545.2
80	11051	1545.33
49	11045	1545.33
64	11049	1545.46
63	11050	1545.33
64	11048	1545.33
65	11052	1545.33
63	11046	1545.33
64	11048	1545.33
65	11053	1545.33
79	11053	1545.33
64	11046	1545.46
65	11052	1545.33
63	11049	1545.33
64	11046	1545.2
64	11050	1545.33
64	11051	1545.2
64	11049	1545.2
64	11049	1545.33
64	11047	1545.46
64	11046	1545.33
63	11046	1545.33
81	11051	1545.33
64	11048	1545.2
65	11049	1545.33
63	11052	1545.46
63	11052	1545.46
65	11049	1545.33
64	11052	1545.33
64	11049	1545.2
63	11046	1545.33
65	11049	1545.33
63	11048	1545.33
65	11048	1545.2
80	11053	1545.33
64	11053	1545.33
63	11052	1545.33
65	11046	1545.33
64	11051	1545.33
63	11052	1545.33
64	11048	1545.33
64	11048	1545.33
64	11046	1545.2
64	11053	1545.33
65	11045	1545.33
63	11047	1545.33
80	11050	1545.33
64	11058	1545.2
64	11061	1545.2
64	11074	1545.33
64	11082	1545.33
64	11086	1545.33
63	11097	1545.33
65	11100	1545.33
64	11110	1545.33
64	11123	1545.2
63	11126	1545.33
65	11128	1545.33
80	11137	1545.33
63	11152	1545.2
65	11159	1545.33
63	11161	1545.33
64	11172	1545.33
64	11186	1545.33
65	11193	1545.33
63	11199	1545.33
64	11212	1545.2
65	11219	1545.2
64	11236	1545.2
63	11241	1545.33
80	11249	1545.33
64	11267	1545.2
64	11275	1545.2
64	11290	1545.33
64	11299	1545.2
64	11309	1545.2
64	11327	1545.33
63	11335	1545.33
65	11353	1545.33
63	11365	1545.33
64	11381	1545.33
64	11396	1545.2
81	11415	1545.33
64	11429	1545.33
64	11444	1545.33
63	11463	1545.33
65	11482	1545.33
64	11494	1545.33
63	11509	1545.33
64	11535	1545.33
65	11550	1545.33
63	11574	1545.33
65	11592	1545.33
63	11617	1545.33
81	11636	1545.46
63	11663	1545.33
64	11676	1545.33
64	11712	1545.33
64	11731	1545.33
64	11759	1545.2
64	11783	1545.33
64	11812	1545.33
64	11842	1545.33
64	11872	1545.2
64	11902	1545.33
64	11935	1545.2
80	11964	1545.33
64	11995	1545.33
64	12034	1545.33
64	12069	1545.46
64	12104	1545.33
64	12148	1545.33
63	12179	1545.33
64	12218	1545.2
65	12258	1545.33
65	12301	1545.2
62	12345	1545.33
64	12391	1545.2
81	12437	1545.46
63	12491	1545.33
65	12539	1545.33
64	12594	1545.33
63	12649	1545.2
64	12704	1545.33
65	12761	1545.33
63	12823	1545.2
64	12890	1545.2
65	12952	1545.33
64	13024	1545.46
63	13090	1545.46
80	13162	1545.72
64	13241	1545.97
64	13330	1546.23
64	13409	1546.74
64	13500	1547.12
64	13610	1547.76
64	13724	1548.27
64	13862	1549.04
63	14010	1549.81
65	14159	1550.83
64	14263	1551.72
64	14341	1552.75
79	14356	1553.9
64	14354	1555.17
65	14354	1556.58
64	14357	1557.6
63	14342	1556.71
64	14346	1555.17
64	14352	1554.02
64	14350	1552.87
64	14302	1551.98
64	14194	1550.96
64	14043	1550.06
64	13865	1549.29
80	13720	1548.53
64	13618	1548.02
64	13517	1547.5
65	13428	1547.12
63	13343	1546.61
64	13271	1546.23
64	13191	1546.1
64	13116	1545.84
64	13044	1545.59
64	12975	1545.59
64	12908	1545.59
64	12846	1545.59
80	12782	1545.46
64	12722	1545.46
63	12662	1545.46
65	12610	1545.46
64	12557	1545.46
63	12507	1545.33
65	12453	1545.46
63	12400	1545.46
65	12358	1545.33
64	12315	1545.46
63	12273	1545.33
64	12229	1545.46
80	12190	1545.33
65	12150	1545.46
63	12113	1545.33
64	12076	1545.46
65	12035	1545.33
63	11998	1545.46
65	11972	1545.33
63	11937	1545.33
64	11904	1545.46
64	11872	1545.46
64	11843	1545.33
64	11819	1545.33
80	11786	1545.33
64	11757	1545.33
64	11733	1545.46
64	11708	1545.33
63	11684	1545.33
65	11665	1545.46
64	11631	1545.46
64	11614	1545.33
64	11595	1545.2
64	11573	1545.46
64	11549	1545.46
64	11527	1545.33
64	11512	1545.33
79	11497	1545.33
64	11473	1545.33
64	11459	1545.33
65	11444	1545.33
63	11428	1545.33
65	11408	1545.33
64	11396	1545.33
63	11382	1545.33
65	11367	1545.33
63	11352	1545.33
64	11343	1545.46
64	11331	1545.33
80	11309	1545.33
64	11296	1545.33
64	11289	1545.2
64	11273	1545.33
64	11267	1545.33
64	11258	1545.33
64	11244	1545.33
64	11227	1545.33
64	11217	1545.33
64	11210	1545.33
64	11199	1545.46
63	11193	1545.33
81	11182	1545.2
64	11177	1545.33
64	11165	1545.33
64	11160	1545.33
63	11138	1545.33
64	11143	1545.33
65	11128	1545.33
64	11122	1545.2
63	11115	1545.33
64	11111	1545.33
65	11097	1545.33
63	11093	1545.33
80	11083	1545.33
65	11082	1545.33
64	11066	1545.33
64	11065	1545.33
63	11056	1545.33
64	11047	1545.33
64	11046	1545.2
64	11033	1545.2
65	11044	1545.33
63	11044	1545.33
64	11045	1545.2
64	11046	1545.2
80	11039	1545.33
63	11049	1545.33
64	11040	1545.33
65	11040	1545.33
64	11044	1545.2
63	11044	1545.33
65	11047	1545.33
63	11044	1545.33
65	11038	1545.33
64	11049	1545.33
64	11047	1545.2
63	11044	1545.33
81	11049	1545.33
63	11043	1545.33
65	11049	1545.2
63	11049	1545.33
64	11043	1545.33
64	11048	1545.33
64	11044	1545.33
65	11045	1545.2
64	11048	1545.33
63	11042	1545.33
64	11045	1545.2
69	11045	1545.33
76	11042	1545.33
63	11045	1545.2
64	11040	1545.33
64	11045	1545.2
63	11046	1545.2
65	11049	1545.2
63	11041	1545.33
65	11041	1545.33
63	11048	1545.2
65	11045	1545.33
64	11041	1545.2
64	11047	1545.2
80	11045	1545.33
63	11043	1545.2
65	11042	1545.2
64	11044	1545.2
64	11047	1545.2
63	11044	1545.33
65	11043	1545.33
65	11046	1545.2
62	11041	1545.2
64	11043	1545.2
65	11043	1545.33
63	11043	1545.2
80	11045	1545.33
64	11048	1545.33
64	11041	1545.33
64	11046	1545.33
64	11046	1545.33
64	11046	1545.2
68	11039	1545.33
65	11040	1545.33
59	11043	1545.2
64	11047	1545.33
64	11039	1545.2
64	11047	1545.2
80	11046	1545.33
64	11045	1545.2
63	11048	1545.2
65	11046	1545.2
63	11042	1545.33
65	11040	1545.2
63	11049	1545.2
64	11047	1545.2
65	11041	1545.2
63	11043	1545.2
65	11043	1545.2
63	11048	1545.33
81	11048	1545.2
63	11047	1545.33
64	11046	1545.2
64	11043	1545.33
64	11043	1545.2
64	11043	1545.33
64	11044	1545.33
64	11050	1545.33
64	11041	1545.2
64	11044	1545.33
64	11046	1545.2
64	11049	1545.33
81	11043	1545.2
63	11041	1545.2
64	11045	1545.08
64	11046	1545.2
64	11044	1545.33
64	11043	1545.2
64	11046	1545.33
64	11053	1545.2
64	11061	1545.2
63	11069	1545.33
65	11070	1545.2
64	11078	1545.2
80	11078	1545.2
63	11095	1545.2
64	11100	1545.2
65	11105	1545.33
63	11111	1545.33
64	11118	1545.2
64	11130	1545.2
64	11137	1545.2
65	11139	1545.2
63	11155	1545.2
64	11165	1545.2
64	11171	1545.33
80	11180	1545.2
64	11188	1545.2
64	11204	1545.33
64	11211	1545.2
64	11223	1545.2
64	11233	1545.2
64	11240	1545.33
64	11249	1545.2
63	11259	1545.2
64	11274	1545.2
65	11286	1545.2
64	11296	1545.08
80	11308	1545.2
64	11328	1545.2
64	11332	1545.2
64	11347	1545.33
64	11369	1545.33
64	11378	1545.2
64	11393	1545.08
63	11410	1545.2
64	11423	1545.33
64	11441	1545.2
65	11458	1545.33
63	11479	1545.33
81	11500	1545.2
63	11511	1545.08
65	11531	1545.2
63	11550	1545.2
64	11566	1545.2
64	11597	1545.2
64	11612	1545.2
64	11637	1545.33
64	11662	1545.2
64	11686	1545.2
64	11710	1545.2
64	11736	1545.2
65	11758	1545.2
79	11781	1545.2
64	11813	1545.2
64	11843	1545.2
64	11876	1545.2
64	11907	1545.2
64	11938	1545.08
64	11967	1545.2
64	11998	1545.2
64	12036	1545.2
64	12064	1545.2
64	12108	1545.2
64	12140	1545.2
79	12179	1545.2
65	12225	1545.2
63	12259	1545.2
64	12306	1545.2
64	12348	1545.2
64	12396	1545.2
64	12443	1545.2
64	12493	1545.2
64	12543	1545.2
64	12595	1545.2
64	12648	1545.2
64	12712	1545.2
80	12765	1545.2
64	12830	1545.2
64	12895	1545.2
64	12957	1545.33
64	13027	1545.33
64	13096	1545.33
64	13169	1545.72
63	13244	1546.1
65	13333	1546.23
64	13418	1546.61
64	13512	1547.12
64	13622	1547.76
80	13732	1548.27
64	13872	1549.04
64	14027	1549.93
63	14168	1550.83
65	14275	1551.59
63	14345	1552.75
65	14358	1553.9
63	14351	1555.17
65	14353	1556.58
63	14356	1557.6
64	14334	1556.32
65	14351	1555.05
79	14363	1554.02
64	14348	1552.62
64	14293	1551.72
65	14176	1550.83
64	14027	1549.81
63	13839	1549.17
64	13712	1548.4
64	13604	1548.02
64	13501	1547.38
64	13421	1546.74
64	13339	1546.48
64	13256	1546.1
80	13180	1545.97
64	13109	1545.72
64	13038	1545.46
64	12967	1545.46
64	12898	1545.46
63	12837	1545.46
65	12776	1545.46
64	12713	1545.46
64	12662	1545.33
63	12601	1545.46
64	12550	1545.46
64	12494	1545.33
81	12446	1545.33
63	12397	1545.46
65	12355	1545.33
63	12312	1545.2
64	12267	1545.33
64	12226	1545.33
65	12186	1545.33
64	12143	1545.33
64	12107	1545.2
63	12072	1545.2
64	12034	1545.33
64	11999	1545.33
80	11965	1545.33
64	11930	1545.2
64	11904	1545.33
64	11873	1545.2
64	11845	1545.33
64	11815	1545.33
63	11783	1545.46
65	11747	1545.33
64	11733	1545.2
64	11707	1545.33
64	11683	1545.33
64	11659	1545.33
80	11630	1545.2
64	11616	1545.2
63	11592	1545.33
64	11570	1545.2
65	11544	1545.33
64	11524	1545.2
63	11507	1545.33
64	11489	1545.2
64	11470	1545.2
65	11459	1545.33
63	11443	1545.2
64	11425	1545.2
80	11410	1545.33
64	11389	1545.2
64	11378	1545.33
64	11364	1545.2
65	11351	1545.2
63	11338	1545.33
64	11322	1545.33
64	11313	1545.33
64	11294	1545.2
64	11285	1545.2
64	11277	1545.33
64	11262	1545.33
80	11247	1545.33
64	11241	1545.33
63	11225	1545.33
65	11213	1545.08
63	11203	1545.2
65	11196	1545.2
63	11189	1545.2
64	11182	1545.33
64	11172	1545.2
64	11163	1545.2
64	11158	1545.2
64	11146	1545.2
80	11134	1545.2
64	11125	1545.2
65	11123	1545.33
63	11118	1545.33
64	11109	1545.2
64	11093	1545.2
64	11089	1545.08
64	11087	1545.08
64	11078	1545.2
64	11067	1545.33
63	11064	1545.2
65	11055	1545.2
80	11049	1545.33
64	11046	1545.2
64	11041	1545.2
64	11047	1545.2
64	11045	1545.2
64	11044	1545.2
64	11046	1545.2
64	11042	1545.2
64	11039	1545.2
64	11050	1545.08
63	11039	1545.2
65	11046	1545.2
80	11048	1545.2
63	11040	1545.08
65	11036	1545.2
63	11045	1545.33
64	11041	1545.33
65	11045	1545.2
63	11041	1545.2
64	11040	1545.2
64	11041	1545.08
64	11046	1545.33
64	11042	1545.2
64	11039	1545.2
80	11047	1545.2
64	11040	1545.2
64	11050	1545.33
64	11044	1545.08
64	11043	1545.2
63	11046	1545.2
65	11049	1545.2
64	11042	1545.2
64	11038	1545.08
64	11044	1545.2
64	11046	1545.33
64	11040	1545.08
80	11044	1545.33
63	11042	1545.08
65	11042	1545.08
64	11045	1545.33
63	11042	1545.08
65	11046	1545.2
64	11035	1545.2
64	11042	1545.2
64	11046	1545.2
64	11039	1545.08
63	11044	1545.2
65	11048	1545.2
64	11042	1545.2
79	11040	1545.08
65	11049	1545.2
63	11042	1545.2
64	11043	1545.2
64	11046	1545.2
64	11038	1545.08
64	11043	1545.2
64	11045	1545.08
64	11037	1545.2
64	11043	1545.2
64	11045	1545.2
64	11044	1545.08
80	11046	1545.2
64	11038	1545.2
64	11047	1545.08
63	11044	1545.2
65	11039	1545.08
63	11050	1545.08
65	11043	1545.2
63	11045	1545.08
65	11045	1545.2
63	11044	1545.08
64	11043	1545.08
64	11042	1545.2
81	11044	1545.33
64	11045	1545.08
64	11038	1545.2
63	11045	1545.33
64	11039	1545.2
64	11041	1545.33
65	11039	1545.2
63	11044	1545.2
65	11043	1545.2
63	11039	1545.2
64	11038	1545.2
64	11040	1545.2
80	11043	1545.08
64	11041	1545.2
64	11040	1545.2
63	11044	1545.08
64	11041	1545.2
64	11046	1545.08
65	11041	1545.2
64	11044	1545.2
64	11042	1545.2
63	11044	1545.2
65	11040	1545.33
64	11044	1545.2
80	11042	1545.2
64	11051	1545.2
63	11051	1545.2
64	11061	1545.2
64	11067	1545.08
65	11076	1545.08
64	11082	1545.2
63	11091	1545.2
64	11097	1545.2
65	11098	1545.2
63	11113	1545.33
64	11120	1545.08
80	11131	1545.2
64	11133	1545.08
64	11139	1545.08
64	11149	1545.2
64	11162	1545.2
64	11174	1545.2
64	11179	1545.08
64	11192	1545.08
64	11198	1545.2
64	11210	1545.2
63	11218	1545.33
65	11230	1545.2
80	11237	1545.2
64	11245	1545.08
64	11262	1545.08
63	11275	1545.08
65	11282	1545.2
64	11291	1545.2
64	11309	1545.08
63	11318	1545.08
64	11340	1545.2
65	11349	1545.08
63	11359	1545.2
64	11376	1545.2
80	11397	1544.95
64	11415	1545.08
65	11426	1545.2
63	11439	1545.08
65	11459	1545.2
63	11471	1545.2
65	11492	1545.08
63	11509	1545.2
64	11529	1545.2
64	11546	1545.08
