Loop Time (ms)	IR (16 bit)	Force (N)
65	10682	1530.25
64	10698	1530.25
64	10713	1530.25
64	10721	1530.25
80	10737	1530.38
64	10755	1530.25
63	10776	1530.25
64	10790	1530.51
64	10807	1530.76
64	10812	1531.14
64	10821	1531.53
64	10844	1531.78
64	10859	1532.42
64	10865	1532.81
64	10878	1533.57
64	10899	1534.34
80	10913	1535.36
64	10934	1536.39
64	10951	1537.41
64	10971	1538.56
64	10996	1539.58
64	11011	1540.86
64	11004	1542.14
64	10706	1543.54
64	10288	1544.69
63	10061	1546.35
65	9937	1548.02
63	9816	1549.93
81	9694	1552.23
63	9570	1554.53
65	9407	1557.09
64	8395	1559.77
64	6994	1561.31
63	7147	1538.17
65	7350	1523.6
63	7560	1523.6
64	7607	1524.12
65	7647	1525.14
63	7657	1526.67
65	7664	1528.33
80	7662	1529.74
63	7661	1531.14
64	7654	1531.4
65	7655	1529.23
63	7653	1526.54
64	7651	1523.35
64	7643	1519.77
63	7634	1516.06
65	7621	1512.48
64	7605	1509.16
63	7579	1505.97
65	7557	1503.28
80	7546	1501.36
64	7531	1500.21
63	7501	1499.45
65	7465	1499.45
64	7368	1500.09
64	7247	1500.85
63	7154	1502
65	7067	1503.41
64	7055	1504.94
63	7066	1506.73
64	7071	1508.39
64	7089	1510.06
80	7121	1511.46
65	7161	1513
64	7207	1513.89
64	7253	1515.04
64	7299	1516.06
64	7334	1516.96
63	7374	1517.6
64	7410	1517.72
64	7467	1517.98
65	7584	1518.11
63	7736	1519.26
64	7919	1520.54
80	8031	1521.69
64	8116	1521.94
64	8201	1521.94
64	8271	1521.94
65	8321	1522.2
63	8373	1522.96
64	8423	1523.99
63	8495	1525.14
65	8548	1526.29
64	8577	1527.31
64	8603	1527.82
64	8632	1528.59
79	8654	1528.97
64	8670	1529.23
64	8682	1529.48
64	8697	1529.61
65	8709	1529.74
63	8716	1529.74
65	8726	1529.99
64	8732	1529.99
63	8742	1529.99
65	8747	1530.12
63	8754	1530.12
64	8768	1530.12
80	8782	1530.12
64	8792	1530.12
64	8799	1530.12
64	8803	1530.12
64	8815	1530.12
64	8817	1530.12
64	8831	1530.12
64	8840	1530.12
63	8841	1530.25
65	8850	1530.12
64	8860	1529.99
63	8857	1530.12
80	8871	1530.12
65	8873	1530.12
63	8887	1530.12
65	8898	1530.12
64	8919	1530.12
64	8916	1530.12
64	8930	1529.99
64	8945	1529.99
63	8956	1530.12
64	8965	1529.99
68	8988	1530.12
61	9000	1530.12
79	9006	1529.99
65	9013	1529.99
63	9024	1530.12
64	9027	1529.99
64	9028	1529.99
64	9038	1530.12
64	9044	1530.12
64	9051	1530.12
64	9057	1529.99
64	9068	1530.25
65	9073	1529.99
65	9077	1530.12
78	9080	1529.99
64	9087	1529.99
64	9095	1529.99
65	9094	1529.99
63	9099	1529.99
65	9105	1529.99
63	9112	1530.12
64	9120	1530.12
66	9122	1529.99
62	9128	1530.12
64	9145	1530.12
64	9146	1529.99
80	9152	1529.99
63	9156	1530.12
65	9162	1530.12
64	9166	1529.99
63	9174	1530.12
65	9174	1530.12
63	9192	1529.99
64	9185	1529.99
65	9192	1529.99
63	9199	1529.99
65	9208	1529.99
63	9207	1530.12
80	9219	1529.99
64	9221	1530.12
64	9230	1530.12
64	9233	1529.99
64	9241	1530.12
65	9240	1529.99
63	9244	1530.12
65	9243	1530.12
63	9261	1530.12
64	9259	1530.12
63	9263	1530.12
64	9268	1529.99
81	9271	1530.12
64	9280	1530.12
64	9287	1530.12
64	9288	1529.99
63	9288	1529.99
65	9299	1529.99
65	9303	1529.99
62	9306	1529.87
64	9317	1529.99
64	9317	1530.12
64	9320	1529.99
65	9322	1530.12
63	9327	1530.12
80	9338	1529.99
64	9335	1530.12
64	9337	1530.12
64	9350	1529.87
64	9352	1530.12
64	9349	1529.99
64	9354	1529.99
64	9362	1530.12
63	9364	1530.12
65	9365	1530.12
64	9370	1529.99
64	9368	1530.12
79	9377	1530.12
65	9378	1530.12
63	9383	1530.12
65	9385	1530.12
64	9388	1530.12
64	9393	1530.12
63	9390	1530.12
65	9391	1530.12
64	9402	1530.12
63	9409	1530.12
64	9409	1529.99
64	9406	1529.87
81	9413	1530.12
63	9421	1530.12
64	9421	1530.25
65	9419	1530.12
64	9423	1530.12
63	9425	1530.12
65	9431	1530.12
63	9434	1530.12
64	9437	1529.99
64	9443	1530.25
64	9442	1530.12
64	9442	1530.12
80	9448	1530.12
63	9451	1530.12
65	9458	1530.12
63	9454	1530.12
65	9460	1530.12
64	9467	1530.12
64	9475	1530.12
64	9478	1530.12
64	9480	1529.99
63	9485	1530.12
64	9489	1530.12
65	9490	1530.12
80	9491	1530.12
64	9497	1530.25
64	9504	1529.99
63	9504	1530.12
64	9512	1530.12
64	9520	1530.12
64	9519	1529.99
64	9527	1530.12
64	9541	1530.12
64	9545	1530.25
64	9550	1530.12
65	9562	1530.12
79	9562	1530.12
64	9566	1530.12
64	9570	1530.12
64	9587	1529.99
64	9586	1530.12
64	9595	1530.12
64	9602	1530.12
65	9615	1530.12
63	9613	1530.25
64	9622	1530.12
65	9631	1530.12
62	9632	1530.25
81	9643	1530.25
64	9651	1530.25
63	9661	1529.99
64	9673	1530.12
65	9679	1530.12
64	9700	1530.12
64	9712	1530.12
63	9721	1530.12
64	9728	1530.12
65	9742	1530.12
70	9757	1530.25
57	9762	1530.12
80	9794	1529.99
64	9834	1530.25
64	9869	1530.12
64	9894	1530.12
64	9918	1530.12
64	9942	1530.12
64	9967	1530.12
64	9989	1530.12
64	10008	1530.12
64	10024	1530.12
64	10030	1530.25
63	10048	1530.12
81	10059	1530.25
65	10070	1530.25
62	10081	1530.25
66	10093	1530.12
63	10105	1530.12
64	10122	1530.12
63	10133	1530.12
65	10145	1530.25
64	10160	1530.12
64	10172	1530.12
64	10189	1530.12
63	10203	1529.99
80	10216	1530.12
64	10237	1530.12
64	10255	1530.25
64	10270	1530.38
64	10282	1530.38
65	10297	1530.63
63	10309	1530.89
64	10315	1532.04
64	10328	1532.68
64	10330	1533.06
64	10341	1533.7
64	10353	1534.47
80	10367	1535.11
65	10373	1536
63	10389	1536.9
64	10396	1538.05
64	10410	1538.94
64	10426	1540.22
64	10458	1541.37
63	10429	1542.65
64	10073	1543.93
64	9846	1545.33
65	9643	1546.99
64	9540	1548.78
80	9426	1550.7
63	9298	1552.87
64	9147	1555.3
65	8980	1557.99
64	7534	1560.67
63	7211	1560.29
64	7286	1549.42
64	7372	1523.09
64	7557	1522.84
65	7601	1523.48
63	7645	1524.5
64	7662	1525.9
80	7667	1527.57
64	7665	1528.97
64	7655	1530.38
65	7650	1531.02
64	7642	1529.23
63	7649	1526.54
65	7651	1523.48
64	7647	1520.03
63	7633	1516.32
64	7616	1512.61
64	7596	1509.29
64	7574	1505.84
80	7555	1503.15
64	7538	1500.98
64	7521	1499.58
64	7501	1498.81
64	7465	1498.81
64	7392	1499.19
64	7267	1499.96
64	7167	1500.98
64	7074	1502.39
64	7053	1503.92
64	7053	1505.71
64	7065	1507.24
80	7079	1509.29
63	7108	1510.82
65	7142	1512.36
64	7190	1513.89
63	7234	1515.3
65	7280	1516.32
64	7316	1517.47
63	7359	1518.24
65	7403	1519.13
63	7477	1520.28
64	7632	1522.07
64	7780	1524.37
81	7915	1526.29
63	8000	1527.31
64	8056	1527.57
64	8117	1527.82
64	8175	1528.21
64	8227	1528.33
64	8275	1528.46
64	8321	1528.46
63	8382	1528.46
65	8430	1528.46
64	8496	1528.46
64	8537	1528.59
63	8573	1528.72
81	8601	1528.72
64	8617	1528.72
63	8635	1528.84
65	8650	1528.84
64	8669	1528.84
64	8675	1528.97
64	8686	1528.97
64	8694	1528.97
64	8702	1528.97
63	8704	1528.97
64	8712	1528.97
