Loop Time (ms)	IR (16 bit)	Force (N)
63	12553	1540.73
64	12670	1542.01
65	12771	1543.54
64	12868	1545.08
64	12912	1546.48
63	12906	1545.46
65	12853	1543.8
64	12698	1542.26
80	12565	1540.86
63	12456	1539.58
65	12362	1538.56
64	12277	1537.54
64	12196	1536.64
63	12122	1535.75
65	12055	1534.98
63	11995	1534.34
64	11941	1533.83
64	11884	1533.57
64	11837	1533.19
64	11799	1533.06
80	11748	1532.93
64	11700	1532.93
64	11648	1532.93
64	11600	1533.06
64	11558	1532.93
64	11508	1532.93
64	11470	1532.93
64	11425	1532.93
64	11390	1532.81
64	11356	1532.81
64	11313	1532.93
63	11276	1532.93
81	11244	1532.81
64	11210	1532.81
63	11176	1532.81
65	11142	1532.81
64	11107	1533.06
63	11082	1532.93
65	11050	1532.81
64	11015	1532.93
63	10989	1532.93
64	10962	1532.93
65	10937	1532.81
63	10913	1532.81
81	10888	1532.81
63	10861	1532.93
65	10837	1532.93
63	10817	1532.81
65	10792	1532.93
63	10769	1532.93
64	10747	1532.81
64	10728	1532.93
64	10709	1532.93
64	10688	1532.93
64	10673	1532.93
64	10652	1532.93
80	10631	1532.81
63	10622	1532.93
64	10601	1532.81
65	10588	1532.93
64	10576	1532.93
64	10555	1532.93
64	10541	1532.93
64	10528	1532.93
63	10516	1532.81
65	10502	1532.93
64	10484	1532.81
64	10473	1532.93
79	10467	1532.93
65	10473	1532.81
64	10474	1532.81
63	10476	1532.93
65	10475	1532.93
63	10478	1532.93
64	10473	1532.81
65	10473	1532.93
63	10478	1532.81
64	10473	1532.93
64	10478	1532.81
64	10479	1532.93
80	10472	1532.81
64	10479	1532.93
64	10474	1532.93
64	10478	1532.81
64	10476	1532.81
63	10476	1532.93
65	10474	1532.81
64	10478	1532.93
64	10477	1532.81
64	10480	1532.81
64	10474	1532.93
64	10476	1532.93
79	10476	1532.93
65	10480	1532.81
64	10480	1532.93
64	10480	1532.93
63	10477	1532.93
65	10476	1532.93
64	10477	1532.93
63	10479	1533.06
65	10480	1532.93
63	10476	1532.81
65	10476	1532.81
63	10480	1532.93
80	10482	1532.93
64	10481	1532.93
65	10478	1532.93
63	10480	1532.93
64	10479	1532.81
64	10480	1532.93
64	10476	1532.93
64	10478	1532.93
64	10485	1532.93
64	10479	1532.81
64	10481	1532.93
63	10481	1532.93
81	10481	1532.93
64	10483	1532.93
63	10481	1532.93
64	10480	1532.93
65	10481	1532.93
64	10482	1532.81
63	10478	1532.93
65	10476	1532.93
64	10475	1532.93
63	10482	1532.81
65	10485	1532.93
63	10484	1532.93
81	10482	1532.81
63	10483	1532.93
64	10483	1532.81
64	10481	1532.93
64	10483	1532.81
65	10486	1532.93
63	10483	1532.81
64	10482	1532.81
64	10483	1533.06
64	10477	1532.93
64	10480	1532.81
64	10482	1532.93
