Loop Time (ms)	IR (16 bit)	Force (N)
63	9829	1530.63
80	9832	1530.63
64	9850	1530.63
64	9860	1530.63
64	9866	1530.76
64	9875	1530.63
63	9878	1530.63
65	9887	1530.76
63	9892	1530.76
65	9894	1530.76
64	9904	1530.76
63	9908	1530.76
64	9911	1530.76
81	9913	1530.76
64	9917	1530.76
64	9919	1530.76
63	9925	1530.76
64	9925	1530.63
65	9934	1530.76
63	9937	1530.76
65	9939	1530.76
64	9944	1530.76
63	9948	1530.76
64	9954	1530.89
65	9954	1530.76
64	9955	1530.76
79	9960	1530.76
65	9965	1530.76
64	9968	1530.76
63	9971	1530.89
65	9974	1530.89
63	9974	1530.76
64	9977	1530.76
65	9986	1530.89
63	9985	1530.76
64	9986	1530.76
64	9994	1530.89
64	9995	1530.76
80	9996	1530.89
64	10000	1530.76
64	10003	1530.76
64	10003	1530.89
64	10013	1530.89
63	10010	1530.89
64	10019	1530.76
64	10022	1530.89
64	10025	1530.89
65	10026	1530.89
64	10029	1530.89
64	10033	1530.89
79	10034	1530.89
64	10034	1530.89
64	10042	1530.89
64	10043	1530.89
65	10048	1530.89
64	10044	1530.89
63	10049	1530.89
65	10052	1530.76
64	10056	1530.76
63	10059	1530.89
64	10059	1530.76
65	10064	1530.76
79	10065	1531.02
64	10066	1530.89
65	10071	1530.89
63	10067	1530.89
64	10072	1530.89
63	10072	1531.02
65	10076	1530.89
64	10078	1530.89
64	10074	1530.89
64	10075	1530.89
63	10081	1531.02
64	10081	1531.02
81	10086	1530.89
63	10086	1530.89
64	10086	1531.02
64	10087	1531.02
65	10091	1530.89
63	10089	1530.89
64	10090	1531.02
65	10093	1530.89
63	10091	1531.02
65	10093	1531.02
63	10098	1531.02
64	10095	1530.89
81	10100	1531.02
63	10100	1531.02
64	10116	1531.02
65	10133	1531.02
63	10142	1531.02
65	10160	1531.02
63	10173	1530.89
64	10188	1531.02
64	10208	1531.02
63	10222	1531.02
67	10237	1531.02
62	10253	1531.02
80	10276	1531.02
64	10294	1531.02
64	10310	1531.14
63	10326	1531.02
65	10349	1531.02
64	10368	1531.02
65	10388	1531.02
62	10407	1531.02
64	10433	1531.02
65	10453	1531.02
64	10475	1531.02
63	10500	1531.02
82	10524	1531.02
63	10548	1531.14
63	10575	1531.02
64	10602	1531.02
65	10626	1531.14
63	10651	1531.14
64	10685	1531.02
64	10707	1531.14
64	10741	1531.14
64	10769	1531.02
64	10803	1531.02
64	10835	1531.02
80	10869	1531.14
64	10915	1530.89
64	10947	1531.14
65	10984	1531.02
63	11020	1531.14
64	11058	1531.02
64	11092	1531.02
65	11145	1531.02
62	11187	1531.02
64	11229	1531.02
65	11277	1531.14
63	11320	1531.27
81	11359	1531.14
65	11405	1531.14
63	11452	1531.78
63	11492	1531.91
64	11548	1532.55
64	11599	1532.93
64	11667	1533.7
64	11728	1534.47
64	11802	1535.36
64	11891	1536.26
65	11982	1537.15
64	12091	1538.43
79	12195	1539.84
65	12289	1541.24
63	12369	1542.78
64	12428	1544.31
64	12439	1546.23
64	12416	1548.02
65	12413	1550.06
63	12414	1552.11
64	12433	1554.53
64	12481	1557.09
64	12563	1559.65
64	12677	1562.46
80	12809	1565.14
64	12912	1568.08
63	13046	1570.77
65	13186	1573.58
63	13379	1576.13
65	13606	1578.69
63	14184	1581.25
64	14546	1583.68
65	14848	1585.72
63	15152	1587.77
65	15385	1589.81
64	15654	1591.47
80	15851	1593.01
63	15903	1594.28
65	15944	1594.03
84	15956	1591.6
43	16017	1588.79
64	16064	1585.47
64	16049	1582.01
64	16008	1578.44
64	15911	1574.35
64	15812	1570.26
64	15691	1566.42
64	15518	1562.59
79	15245	1559.14
65	14857	1555.68
64	14303	1552.49
64	13550	1549.68
63	12571	1547.25
64	11751	1545.08
65	11156	1543.16
64	10732	1541.5
63	10434	1540.22
64	10205	1538.81
64	10043	1537.15
65	9880	1535.75
80	9813	1534.98
63	9812	1533.96
64	9816	1533.45
65	9831	1532.81
64	9860	1532.04
63	9882	1531.4
64	9905	1531.14
65	9937	1530.63
63	9960	1530.38
65	9981	1530.12
63	10003	1529.99
64	10021	1529.87
64	10029	1529.87
80	10039	1529.87
64	10047	1529.87
64	10036	1529.99
64	10038	1529.99
64	10036	1530.12
63	10052	1530.12
65	10072	1530.12
64	10082	1530.12
64	10079	1530.25
64	10066	1530.25
64	10057	1530.25
64	10038	1530.25
80	10027	1530.25
63	10010	1530.38
64	9991	1530.25
65	9978	1530.38
63	9966	1530.38
65	9948	1530.38
63	9933	1530.51
64	9919	1530.51
64	9904	1530.51
64	9891	1530.51
64	9880	1530.51
65	9868	1530.51
80	9862	1530.51
63	9860	1530.51
64	9857	1530.51
64	9851	1530.51
64	9850	1530.51
64	9847	1530.51
65	9847	1530.51
63	9841	1530.51
65	9836	1530.63
73	9830	1530.51
59	9826	1530.63
59	9822	1530.63
80	9812	1530.63
64	9807	1530.63
64	9803	1530.63
64	9798	1530.63
64	9793	1530.63
63	9792	1530.76
64	9790	1530.63
65	9787	1530.63
63	9775	1530.63
64	9776	1530.63
64	9772	1530.63
65	9771	1530.63
80	9762	1530.63
64	9761	1530.63
64	9755	1530.76
64	9762	1530.76
63	9777	1530.76
64	9787	1530.89
64	9799	1530.63
64	9800	1530.63
65	9807	1530.76
63	9817	1530.63
65	9819	1530.76
90	9827	1530.76
53	9835	1530.76
63	9840	1530.76
65	9841	1530.76
64	9847	1530.63
64	9849	1530.76
64	9857	1530.76
64	9876	1530.76
64	9889	1530.76
64	9893	1530.76
64	9901	1530.76
64	9905	1530.89
64	9910	1530.76
80	9914	1530.76
64	9917	1530.76
63	9924	1530.76
64	9928	1530.76
65	9930	1530.76
64	9935	1531.02
63	9936	1530.89
64	9942	1530.89
64	9942	1530.76
65	9946	1530.89
64	9955	1530.89
63	9952	1530.89
80	9961	1530.89
64	9962	1530.89
65	9965	1530.89
63	9970	1530.76
65	9973	1530.89
64	9973	1530.89
63	9979	1530.89
64	9984	1530.76
64	9979	1530.89
64	9988	1530.89
64	9995	1530.89
64	9997	1530.89
80	9999	1531.02
64	10001	1531.02
64	10001	1531.02
63	10007	1531.02
64	10011	1530.89
65	10016	1530.89
64	10018	1530.89
63	10024	1530.89
65	10028	1531.02
63	10026	1530.89
65	10029	1530.89
63	10032	1531.02
81	10034	1530.89
64	10038	1530.89
63	10041	1530.89
64	10047	1530.89
64	10048	1530.89
64	10050	1531.02
65	10053	1531.02
64	10053	1530.89
63	10056	1531.02
65	10062	1531.02
63	10060	1531.02
64	10066	1530.89
80	10065	1531.02
64	10068	1530.89
64	10070	1531.02
64	10073	1531.02
64	10072	1531.02
64	10074	1531.02
64	10073	1531.02
64	10078	1531.02
64	10081	1531.02
64	10079	1531.02
64	10082	1531.02
63	10080	1531.02
80	10085	1531.02
65	10086	1531.02
63	10086	1531.02
64	10087	1531.02
64	10087	1531.02
64	10093	1531.14
64	10089	1531.02
64	10092	1531.02
64	10089	1531.02
64	10094	1530.89
65	10095	1531.14
64	10096	1531.02
79	10096	1531.02
65	10096	1531.14
63	10101	1531.02
65	10118	1531.14
63	10128	1531.02
65	10142	1531.14
63	10159	1531.14
64	10172	1531.14
64	10190	1531.02
64	10204	1531.14
64	10222	1531.14
64	10234	1531.14
80	10254	1531.14
64	10267	1531.02
63	10288	1531.14
65	10309	1531.14
63	10326	1531.02
65	10343	1531.02
63	10366	1531.14
65	10387	1531.14
64	10407	1531.02
64	10435	1531.14
64	10452	1531.14
64	10474	1531.14
63	10500	1531.02
81	10523	1531.14
64	10544	1531.14
63	10575	1531.14
65	10599	1531.02
64	10626	1531.14
64	10647	1531.27
64	10676	1531.14
64	10706	1531.14
63	10737	1531.02
64	10772	1531.14
64	10800	1531.14
